category,metric,value,expected,status
dataset,rows,59708,59708,PASS
dataset,duplicate_material_id,0,0,PASS
dataset,duplicate_structure_id,0,0,PASS
dataset,blank_required_values,0,0,PASS
dataset,invalid_numeric_values,0,0,PASS
dataset,near_stable_label_mismatch,0,0,PASS
dataset,non_perovskite_rows,0,0,PASS
range,a1_oxidation_state_min,1.0,,INFO
range,a1_oxidation_state_max,7.0,,INFO
range,a2_oxidation_state_min,1.0,,INFO
range,a2_oxidation_state_max,7.0,,INFO
range,b1_oxidation_state_min,1.0,,INFO
range,b1_oxidation_state_max,7.0,,INFO
range,b2_oxidation_state_min,1.0,,INFO
range,b2_oxidation_state_max,7.0,,INFO
range,goldschmidt_t_min,0.778557,,INFO
range,goldschmidt_t_max,1.12912,,INFO
range,bartel_tau_min,-1.38794,,INFO
range,bartel_tau_max,7.65363,,INFO
range,formation_energy_per_atom_min,-3.92388,,INFO
range,formation_energy_per_atom_max,-0.609532,,INFO
range,decomposition_energy_per_atom_min,-0.305164,,INFO
range,decomposition_energy_per_atom_max,0.645654,,INFO
coverage,unique_cations,39,39,PASS
coverage,cation_symbols,"Al,Ba,Bi,Ca,Ce,Co,Cr,Cu,Dy,Eu,Fe,Ga,Gd,Ge,Hf,In,K,La,Li,Mg,Mn,Na,Nb,Nd,Ni,Pr,Sb,Se,Si,Sm,Sn,Sr,Tb,Ti,V,W,Y,Zn,Zr",,INFO
coverage,composition_type_A2BB'O6,3615,,INFO
coverage,composition_type_AA'B2O6,2911,,INFO
coverage,composition_type_AA'BB'O6,53182,,INFO
structure_index,rows,59708,59708,PASS
structure_index,duplicate_structure_id,0,0,PASS
structure_index,duplicate_structure_md5,0,0,PASS
structure_index,missing_dataset_structures,0,0,PASS
structure_index,extra_structures,0,0,PASS
structures,shard_files,7464,7464,PASS
structures,missing_shards,0,0,PASS
structures,unindexed_shards,0,0,PASS
structures,records,59708,59708,PASS
structures,invalid_gzip,0,0,PASS
structures,invalid_offsets,0,0,PASS
structures,id_or_md5_mismatch,0,0,PASS
random,rows,59708,59708,PASS
random,duplicate_material_id,0,0,PASS
random,missing_material_id,0,0,PASS
random,extra_material_id,0,0,PASS
random,invalid_split_labels,0,0,PASS
random,test_rows,5971,,INFO
random,train_rows,47766,,INFO
random,validation_rows,5971,,INFO
ood_a_pair,rows,59708,59708,PASS
ood_a_pair,duplicate_material_id,0,0,PASS
ood_a_pair,missing_material_id,0,0,PASS
ood_a_pair,extra_material_id,0,0,PASS
ood_a_pair,invalid_split_labels,0,0,PASS
ood_a_pair,test_rows,6826,,INFO
ood_a_pair,train_rows,46942,,INFO
ood_a_pair,validation_rows,5940,,INFO
ood_a_pair,a_pair_overlap,0,0,PASS
