material_id,structure_id,identifier,formula,a1_element,a2_element,b1_element,b2_element,a1_oxidation_state,a2_oxidation_state,b1_oxidation_state,b2_oxidation_state,goldschmidt_t,bartel_tau,formation_energy_per_atom,decomposition_energy_per_atom,is_perovskite,near_stable,site_group,data_source
63470323660f1387211b5410,63470322660f1387211b540e,BaW_FeMgO6,BaWFeMgO6,Ba,W,Fe,Mg,2.0,6.0,2.0,2.0,0.823862,1.07419,-2.34268,0.239963,True,False,A:Ba-W|B:Fe-Mg,Multinary_Oxides
63470323660f1387211b5411,63470323660f1387211b540f,InNaHfMnO6,InNaHfMnO6,In,Na,Hf,Mn,3.0,1.0,4.0,4.0,0.894385,4.2468,-2.50313,0.10139,True,False,A:In-Na|B:Hf-Mn,Multinary_Oxides
63470323660f1387211b5414,63470323660f1387211b5412,CaSmEuSnO6,CaSmEuSnO6,Ca,Sm,Eu,Sn,2.0,3.0,3.0,4.0,0.857389,4.12153,-3.06433,0.0801195,True,False,A:Ca-Sm|B:Eu-Sn,Multinary_Oxides
63470323660f1387211b5415,63470323660f1387211b5413,EuSmNbTbO6,EuSmNbTbO6,Eu,Sm,Nb,Tb,2.0,2.0,5.0,3.0,0.886517,4.1718,-3.47426,0.0904098,True,False,A:Eu-Sm|B:Nb-Tb,Multinary_Oxides
63470324103349a28b1b53c3,63470324103349a28b1b53c1,BaPrGeInO6,BaPrGeInO6,Ba,Pr,Ge,In,2.0,3.0,4.0,3.0,0.956906,2.93487,-2.72123,0.0921528,True,False,A:Ba-Pr|B:Ge-In,Multinary_Oxides
63470324103349a28b1b53c6,63470324103349a28b1b53c4,CeDyLiW_O6,CeDyLiWO6,Ce,Dy,Li,W,3.0,2.0,1.0,6.0,0.905981,3.30113,-3.12746,0.094785,True,False,A:Ce-Dy|B:Li-W,Multinary_Oxides
63470324103349a28b1b53c7,63470324103349a28b1b53c5,CaNbCoFeO6,CaNbCoFeO6,Ca,Nb,Co,Fe,2.0,5.0,2.0,3.0,0.823552,2.75837,-2.42086,0.0912098,True,False,A:Ca-Nb|B:Co-Fe,Multinary_Oxides
63470324660f1387211b5418,63470323660f1387211b5416,CeSnNiZrO6,CeSnNiZrO6,Ce,Sn,Ni,Zr,4.0,2.0,2.0,4.0,0.854911,3.03266,-2.73997,0.248267,True,False,A:Ce-Sn|B:Ni-Zr,Multinary_Oxides
63470324660f1387211b5419,63470323660f1387211b5417,CaY_GaGeO6,CaYGaGeO6,Ca,Y,Ga,Ge,2.0,3.0,3.0,4.0,0.93356,3.26085,-2.91838,0.0798422,True,False,A:Ca-Y|B:Ga-Ge,Multinary_Oxides
63470324660f1387211b541c,63470324660f1387211b541a,FeNdAlZnO6,FeNdAlZnO6,Fe,Nd,Al,Zn,4.0,3.0,3.0,2.0,0.80775,3.52739,-2.48235,0.165587,True,False,A:Fe-Nd|B:Al-Zn,Multinary_Oxides
63470324660f1387211b541d,63470324660f1387211b541b,DyGdCoFeO6,DyGdCoFeO6,Dy,Gd,Co,Fe,3.0,3.0,2.0,4.0,0.854349,3.01027,-2.5753,0.145211,True,False,A:Dy-Gd|B:Co-Fe,Multinary_Oxides
63470324660f1387211b5420,63470324660f1387211b541e,Nd2MgNbO6,Nd2MgNbO6,Nd,Nd,Mg,Nb,3.0,3.0,2.0,4.0,0.899036,2.13703,-3.40869,0.0609435,True,False,A:Nd-Nd|B:Mg-Nb,Multinary_Oxides
63470324660f1387211b5421,63470324660f1387211b541f,TbK_CrEuO6,TbKCrEuO6,K,Tb,Cr,Eu,1.0,3.0,6.0,2.0,0.887491,4.15078,-2.32577,0.535064,True,False,A:K-Tb|B:Cr-Eu,Multinary_Oxides
63470325103349a28b1b53cb,63470325103349a28b1b53c9,CeInCrLiO6,CeInCrLiO6,Ce,In,Cr,Li,3.0,3.0,5.0,1.0,0.883447,2.39874,-2.56703,0.13745,True,False,A:Ce-In|B:Cr-Li,Multinary_Oxides
63470325103349a28b1b53ce,63470325103349a28b1b53cc,LaY_GdMnO6,LaYGdMnO6,La,Y,Gd,Mn,3.0,3.0,3.0,3.0,0.844559,3.48498,-3.38519,0.174156,True,False,A:La-Y|B:Gd-Mn,Multinary_Oxides
63470325103349a28b1b53cf,63470325103349a28b1b53cd,SrW_MnSiO6,SrWMnSiO6,Sr,W,Mn,Si,2.0,4.0,2.0,4.0,0.859758,2.85154,-2.48962,0.28837,True,False,A:Sr-W|B:Mn-Si,Multinary_Oxides
63470325660f1387211b5425,63470325660f1387211b5423,NdTbCoW_O6,NdTbCoWO6,Nd,Tb,Co,W,2.0,3.0,2.0,5.0,0.890462,3.48372,-2.76947,0.220057,True,False,A:Nd-Tb|B:Co-W,Multinary_Oxides
63470325660f1387211b5428,63470325660f1387211b5426,GdNaCoMnO6,GdNaCoMnO6,Gd,Na,Co,Mn,3.0,1.0,2.0,6.0,0.98567,4.25739,-2.09259,0.12885,True,False,A:Gd-Na|B:Co-Mn,Multinary_Oxides
63470326103349a28b1b53d2,63470326103349a28b1b53d0,BaCuFeMgO6,BaCuFeMgO6,Ba,Cu,Fe,Mg,2.0,2.0,6.0,2.0,0.964066,4.36546,-1.52355,0.408933,True,False,A:Ba-Cu|B:Fe-Mg,Multinary_Oxides
63470326103349a28b1b53d3,63470326103349a28b1b53d1,CeTbCaSeO6,CeTbCaSeO6,Ce,Tb,Ca,Se,3.0,3.0,2.0,4.0,0.860861,2.91865,-2.88008,0.363137,True,False,A:Ce-Tb|B:Ca-Se,Multinary_Oxides
63470326103349a28b1b53d6,63470326103349a28b1b53d4,CaEuSnZrO6,CaEuSnZrO6,Ca,Eu,Sn,Zr,2.0,2.0,4.0,4.0,0.922094,3.89277,-3.17836,0.0153228,True,True,A:Ca-Eu|B:Sn-Zr,Multinary_Oxides
63470326103349a28b1b53d7,63470326103349a28b1b53d5,GdZrMnNiO6,GdZrMnNiO6,Gd,Zr,Mn,Ni,3.0,4.0,3.0,2.0,0.820312,2.84809,-2.61206,0.281618,True,False,A:Gd-Zr|B:Mn-Ni,Multinary_Oxides
63470326660f1387211b542c,63470326660f1387211b542a,NaNdTbTiO6,NaNdTbTiO6,Na,Nd,Tb,Ti,1.0,3.0,4.0,4.0,0.926964,3.89301,-3.25732,0.110374,True,False,A:Na-Nd|B:Tb-Ti,Multinary_Oxides
63470326660f1387211b542d,63470326660f1387211b542b,BiCaCoGaO6,BiCaCoGaO6,Bi,Ca,Co,Ga,3.0,2.0,4.0,3.0,0.950566,3.17566,-1.96587,0.0901828,True,False,A:Bi-Ca|B:Co-Ga,Multinary_Oxides
63470327103349a28b1b53da,63470326103349a28b1b53d8,BiSrCaW_O6,BiSrCaWO6,Bi,Sr,Ca,W,3.0,2.0,2.0,5.0,0.865486,3.92372,-2.61601,0.055455,True,False,A:Bi-Sr|B:Ca-W,Multinary_Oxides
63470327103349a28b1b53db,63470326103349a28b1b53d9,HfK_CoW_O6,HfKCoWO6,Hf,K,Co,W,4.0,1.0,2.0,5.0,0.894707,3.42915,-2.44211,0.190157,True,False,A:Hf-K|B:Co-W,Multinary_Oxides
63470327103349a28b1b53df,63470327103349a28b1b53dd,EuNdSbY_O6,EuNdSbYO6,Eu,Nd,Sb,Y,2.0,2.0,5.0,3.0,0.904439,3.99134,-3.13045,0.119514,True,False,A:Eu-Nd|B:Sb-Y,Multinary_Oxides
63470327660f1387211b5430,63470326660f1387211b542e,NdSbAlCrO6,NdSbAlCrO6,Nd,Sb,Al,Cr,2.0,5.0,3.0,2.0,0.812275,3.34008,-2.78918,0.114678,True,False,A:Nd-Sb|B:Al-Cr,Multinary_Oxides
63470327660f1387211b5431,63470327660f1387211b542f,BiMnFeSiO6,BiMnFeSiO6,Bi,Mn,Fe,Si,3.0,3.0,2.0,4.0,0.819924,4.08983,-2.11436,0.169926,True,False,A:Bi-Mn|B:Fe-Si,Multinary_Oxides
63470327660f1387211b5434,63470327660f1387211b5432,La2MnTiO6,La2MnTiO6,La,La,Mn,Ti,3.0,3.0,3.0,3.0,0.948537,1.6672,-3.48723,0.0160308,True,True,A:La-La|B:Mn-Ti,Multinary_Oxides
63470327660f1387211b5435,63470327660f1387211b5433,CeW_AlMgO6,CeWAlMgO6,Ce,W,Al,Mg,3.0,4.0,3.0,2.0,0.837019,1.95007,-2.90828,0.260074,True,False,A:Ce-W|B:Al-Mg,Multinary_Oxides
63470328103349a28b1b53e2,63470327103349a28b1b53e0,Nd2CuSbO6,Nd2CuSbO6,Nd,Nd,Cu,Sb,3.0,3.0,1.0,5.0,0.905504,2.05329,-2.68858,0.0973215,True,False,A:Nd-Nd|B:Cu-Sb,Multinary_Oxides
63470328103349a28b1b53e3,63470328103349a28b1b53e1,LiK_CrW_O6,LiKCrWO6,K,Li,Cr,W,1.0,1.0,6.0,4.0,0.971819,4.30061,-2.1014,0.203405,True,False,A:K-Li|B:Cr-W,Multinary_Oxides
63470328103349a28b1b53e7,63470328103349a28b1b53e5,NdSnAlCrO6,NdSnAlCrO6,Nd,Sn,Al,Cr,2.0,2.0,3.0,5.0,0.979782,4.20284,-2.66938,0.27339,True,False,A:Nd-Sn|B:Al-Cr,Multinary_Oxides
63470328660f1387211b5438,63470327660f1387211b5436,InLaCoZnO6,InLaCoZnO6,In,La,Co,Zn,3.0,3.0,4.0,2.0,0.88258,2.40877,-2.12212,0.068522,True,False,A:In-La|B:Co-Zn,Multinary_Oxides
