timestamp,index,name,utilization_gpu_pct,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-09-02T20:16:35.317810+08:00,0, NVIDIA GeForce RTX 5060, 2, 1738, 8151, 41, 22.86
2026-09-02T20:16:40.383650+08:00,0, NVIDIA GeForce RTX 5060, 35, 3255, 8151, 47, 63.20
2026-09-02T20:16:45.442105+08:00,0, NVIDIA GeForce RTX 5060, 45, 3344, 8151, 47, 65.14
2026-09-02T20:16:50.491315+08:00,0, NVIDIA GeForce RTX 5060, 45, 3442, 8151, 52, 66.54
2026-09-02T20:16:55.531238+08:00,0, NVIDIA GeForce RTX 5060, 46, 3442, 8151, 50, 66.82
2026-09-02T20:17:00.571542+08:00,0, NVIDIA GeForce RTX 5060, 34, 3384, 8151, 52, 64.88
2026-09-02T20:17:05.620669+08:00,0, NVIDIA GeForce RTX 5060, 45, 3381, 8151, 54, 67.60
2026-09-02T20:17:10.670922+08:00,0, NVIDIA GeForce RTX 5060, 34, 3381, 8151, 56, 67.58
2026-09-02T20:17:15.718866+08:00,0, NVIDIA GeForce RTX 5060, 32, 3490, 8151, 57, 66.07
2026-09-02T20:17:20.762185+08:00,0, NVIDIA GeForce RTX 5060, 40, 3490, 8151, 59, 67.04
2026-09-02T20:17:25.814951+08:00,0, NVIDIA GeForce RTX 5060, 39, 3476, 8151, 59, 69.61
2026-09-02T20:17:30.861570+08:00,0, NVIDIA GeForce RTX 5060, 40, 3485, 8151, 60, 68.11
2026-09-02T20:17:35.905136+08:00,0, NVIDIA GeForce RTX 5060, 15, 3736, 8151, 59, 48.04
2026-09-02T20:17:40.954722+08:00,0, NVIDIA GeForce RTX 5060, 15, 3864, 8151, 54, 36.68
2026-09-02T20:17:45.999974+08:00,0, NVIDIA GeForce RTX 5060, 52, 3872, 8151, 59, 71.67
2026-09-02T20:17:51.062859+08:00,0, NVIDIA GeForce RTX 5060, 51, 3864, 8151, 62, 75.73
2026-09-02T20:17:56.109573+08:00,0, NVIDIA GeForce RTX 5060, 53, 3864, 8151, 64, 77.67
2026-09-02T20:18:01.145286+08:00,0, NVIDIA GeForce RTX 5060, 51, 3865, 8151, 63, 77.13
2026-09-02T20:18:06.190580+08:00,0, NVIDIA GeForce RTX 5060, 48, 3863, 8151, 62, 76.32
2026-09-02T20:18:11.224229+08:00,0, NVIDIA GeForce RTX 5060, 46, 3864, 8151, 62, 75.65
2026-09-02T20:18:16.257159+08:00,0, NVIDIA GeForce RTX 5060, 45, 3864, 8151, 61, 74.25
2026-09-02T20:18:21.303501+08:00,0, NVIDIA GeForce RTX 5060, 48, 3863, 8151, 61, 73.80
2026-09-02T20:18:26.347814+08:00,0, NVIDIA GeForce RTX 5060, 50, 3863, 8151, 60, 75.91
2026-09-02T20:18:31.389596+08:00,0, NVIDIA GeForce RTX 5060, 15, 3857, 8151, 56, 49.08
