selected,research_role,selection_category,material_id,structure_id,identifier,formula,a1_element,a2_element,b1_element,b2_element,a1_oxidation_state,a2_oxidation_state,b1_oxidation_state,b2_oxidation_state,decomposition_energy_per_atom,ensemble_mean,ensemble_std,error,goldschmidt_t,bartel_tau,site_group,magnetic_proxy,data_source
True,blind_test,high_uncertainty,63471574103349a28b1be3a5,63471574103349a28b1be3a4,GdLaDyFeO6,GdLaDyFeO6,Gd,La,Dy,Fe,3.0,3.0,2.0,4.0,0.265541,0.29795448799999996,0.11687474885494416,0.032413487999999935,0.835989,3.89395,A:Gd-La|B:Dy-Fe,magnetic_B_proxy,Multinary_Oxides
True,blind_test,high_uncertainty,634d899549b0ce94eb0d36b6,634d899549b0ce94eb0d36b3,NdZrCaSiO6,NdZrCaSiO6,Nd,Zr,Ca,Si,2.0,4.0,2.0,4.0,0.349903,0.30200013600000003,0.04196002067997918,-0.04790286399999999,0.848528,3.21269,A:Nd-Zr|B:Ca-Si,other_B,Multinary_Oxides
True,blind_test,higher_energy_0.10_0.15,634702a0660f1387211b4fff,6347029f660f1387211b4ffd,CeCrGaTiO6,CeCrGaTiO6,Ce,Cr,Ga,Ti,4.0,2.0,3.0,3.0,0.130969,0.222033942,0.038565549980833544,0.09106494200000001,0.819483,4.22721,A:Ce-Cr|B:Ga-Ti,other_B,Multinary_Oxides
True,blind_test,higher_energy_0.10_0.15,63470d9b660f1387211b9e1d,63470d9b660f1387211b9e1c,BiNaGeNiO6,BiNaGeNiO6,Bi,Na,Ge,Ni,3.0,1.0,4.0,4.0,0.113112,0.145879792,0.018539718417697713,0.032767792000000004,0.994775,4.22281,A:Bi-Na|B:Ge-Ni,magnetic_B_proxy,Multinary_Oxides
True,blind_test,near_stable_0.05_0.10,63470d1b660f1387211b9a71,63470d1b660f1387211b9a70,Pr2GaNiO6,Pr2GaNiO6,Pr,Pr,Ga,Ni,3.0,3.0,3.0,3.0,0.0952833,0.069639057,0.013303274270130757,-0.025644242999999997,0.907278,2.0943,A:Pr-Pr|B:Ga-Ni,magnetic_B_proxy,Multinary_Oxides
True,blind_test,near_stable_0.05_0.10,6347162a103349a28b1be8fb,63471629103349a28b1be8f9,EuZnCrSbO6,EuZnCrSbO6,Eu,Zn,Cr,Sb,2.0,2.0,5.0,3.0,0.0901518,0.1146029492,0.02549386514358157,0.024451149199999994,0.881701,4.36467,A:Eu-Zn|B:Cr-Sb,magnetic_B_proxy,Multinary_Oxides
True,blind_test,stable_positive_control_le_0.03,634702f6103349a28b1b525c,634702f5103349a28b1b525a,SmTbAlCrO6,SmTbAlCrO6,Sm,Tb,Al,Cr,3.0,4.0,3.0,2.0,-0.00620227,0.00033529402800000003,0.001146716069758683,0.006537564028,0.841346,1.86518,A:Sm-Tb|B:Al-Cr,magnetic_B_proxy,Multinary_Oxides
True,blind_test,stable_positive_control_le_0.03,634710d8103349a28b1bbd8b,634710d8103349a28b1bbd87,DyEuCrW_O6,DyEuCrWO6,Dy,Eu,Cr,W,2.0,2.0,2.0,6.0,0.0244544,0.033228194600000004,0.0015732805746078145,0.008773794600000002,0.899036,4.09136,A:Dy-Eu|B:Cr-W,magnetic_B_proxy,Multinary_Oxides
True,blind_test,unstable_negative_control_gt_0.20,63470181660f1387211b4738,63470180660f1387211b4736,CeSmGaPrO6,CeSmGaPrO6,Ce,Sm,Ga,Pr,3.0,3.0,3.0,3.0,0.220183,0.21739326599999997,0.0009783723218846601,-0.002789734000000016,0.862638,2.93402,A:Ce-Sm|B:Ga-Pr,other_B,Multinary_Oxides
True,blind_test,unstable_negative_control_gt_0.20,634708f4103349a28b1b8016,634708f4103349a28b1b8013,BaY_CuTiO6,BaYCuTiO6,Ba,Y,Cu,Ti,2.0,3.0,3.0,4.0,0.262218,0.257673878,0.0015671290224069034,-0.004544121999999984,0.983138,3.07399,A:Ba-Y|B:Cu-Ti,other_B,Multinary_Oxides
True,development,high_uncertainty,634713d2103349a28b1bd72e,634713d2103349a28b1bd72b,CrEuAlSbO6,CrEuAlSbO6,Cr,Eu,Al,Sb,2.0,2.0,3.0,5.0,0.324645,0.33348585000000003,0.07077185690183,0.008840850000000011,0.889499,4.39736,A:Cr-Eu|B:Al-Sb,other_B,Multinary_Oxides
True,development,high_uncertainty,634d89f7d6d16c71eb0d3b4f,634d89f6d6d16c71eb0d3b4e,BaSnTbTiO6,BaSnTbTiO6,Ba,Sn,Tb,Ti,2.0,2.0,4.0,4.0,0.225032,0.347557696,0.06901778695694523,0.12252569600000002,0.943941,3.79492,A:Ba-Sn|B:Tb-Ti,other_B,Multinary_Oxides
True,development,high_uncertainty,634d927ed6d16c71eb0d5bc7,634d927ed6d16c71eb0d5bc6,BiLaCoMnO6,BiLaCoMnO6,Bi,La,Co,Mn,5.0,3.0,2.0,2.0,0.224952,0.21450194600000003,0.06630670714593682,-0.010450053999999986,0.795192,3.89634,A:Bi-La|B:Co-Mn,magnetic_B_proxy,Multinary_Oxides
True,development,high_uncertainty,634d979cd6d16c71eb0d7795,634d979cd6d16c71eb0d7794,SmK_SeY_O6,SmKSeYO6,K,Sm,Se,Y,1.0,2.0,6.0,3.0,0.424537,0.40155833800000007,0.02645787428068098,-0.022978661999999928,0.988576,4.03641,A:K-Sm|B:Se-Y,other_B,Multinary_Oxides
True,development,higher_energy_0.10_0.15,634704d5103349a28b1b6118,634704d5103349a28b1b6115,Gd2FeMgO6,Gd2FeMgO6,Gd,Gd,Fe,Mg,3.0,3.0,4.0,2.0,0.130977,0.0794013836,0.046776099397787804,-0.05157561640000001,0.863687,2.77419,A:Gd-Gd|B:Fe-Mg,magnetic_B_proxy,Multinary_Oxides
True,development,higher_energy_0.10_0.15,63470f75660f1387211bab33,63470f75660f1387211bab32,EuGdSbW_O6,EuGdSbWO6,Eu,Gd,Sb,W,2.0,3.0,3.0,4.0,0.123133,0.21433704799999997,0.0453265135246168,0.09120404799999997,0.880867,3.61136,A:Eu-Gd|B:Sb-W,other_B,Multinary_Oxides
