candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,generation_method,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,structure_path
63471574103349a28b1be3a5_p01,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,original,original,original,original,P-1,MP parent,142.41009726175307,0.5165820642275737,2.1158582450786696,0.1908298144684663,1.920824125726354,step4/candidates/63471574103349a28b1be3a5_p01.cif
63471574103349a28b1be3a5_p02,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a0a0a0,0.0,rocksalt,rocksalt,F-43m,native Glazer generator v1,180.0,0.0,2.0028859747823806,4.440892098500626e-16,2.002885974782381,step4/candidates/63471574103349a28b1be3a5_p02.cif
63471574103349a28b1be3a5_p03,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a0a0c-,6.0,rocksalt,rocksalt,I-4,native Glazer generator v1,172.04350774306172,5.626089629339306,2.0101608012174403,0.005144079104185678,2.002885974782381,step4/candidates/63471574103349a28b1be3a5_p03.cif
63471574103349a28b1be3a5_p04,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a0a0c-,12.0,rocksalt,rocksalt,I-4,native Glazer generator v1,164.33982190699302,11.073418124154243,2.0314404217443642,0.020191043079850018,2.002885974782381,step4/candidates/63471574103349a28b1be3a5_p04.cif
63471574103349a28b1be3a5_p05,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a-a-a-,6.0,rocksalt,rocksalt,R3,native Glazer generator v1,163.27292765074517,0.0369812312576552,2.0244155274715667,0.0013101655342125723,2.022151950319809,step4/candidates/63471574103349a28b1be3a5_p05.cif
63471574103349a28b1be3a5_p06,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a-a-a-,12.0,rocksalt,rocksalt,R3,native Glazer generator v1,147.904586383159,0.2746014830978337,2.0841044574782055,0.010090686367866192,2.0667834746830995,step4/candidates/63471574103349a28b1be3a5_p06.cif
63471574103349a28b1be3a5_p07,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a-a-c+,6.0,rocksalt,rocksalt,Pc,native Glazer generator v1,163.24273266697264,0.021427874922889747,2.0244939517725187,0.001307828556235219,2.022151950319809,step4/candidates/63471574103349a28b1be3a5_p07.cif
63471574103349a28b1be3a5_p08,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a-a-c+,12.0,rocksalt,rocksalt,Pc,native Glazer generator v1,147.6803782193958,0.15996160109567417,2.0852774507212235,0.010023532732833317,2.0667834746830995,step4/candidates/63471574103349a28b1be3a5_p08.cif
63471574103349a28b1be3a5_p09,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,172.04350774306172,5.626089629339306,2.0101608012174403,0.005144079104185678,2.002885974782381,step4/candidates/63471574103349a28b1be3a5_p09.cif
63471574103349a28b1be3a5_p10,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a0a0c+,12.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,164.33982190699302,11.073418124154243,2.0314404217443642,0.020191043079850018,2.002885974782381,step4/candidates/63471574103349a28b1be3a5_p10.cif
63471574103349a28b1be3a5_p11,63471574103349a28b1be3a5,GdLaDyFeO6,63471574103349a28b1be3a4,blind_test,high_uncertainty,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,native Glazer generator v1,180.0,0.0,2.0028859747823806,4.440892098500626e-16,2.002885974782381,step4/candidates/63471574103349a28b1be3a5_p11.cif
634d899549b0ce94eb0d36b6_p01,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,original,original,original,original,Pc,MP parent,132.09289577893784,1.2035186957362227,2.0717487247841793,0.3018253319727396,1.7619634761868725,step4/candidates/634d899549b0ce94eb0d36b6_p01.cif
634d899549b0ce94eb0d36b6_p02,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a0a0a0,0.0,rocksalt,rocksalt,F-43m,native Glazer generator v1,180.0,0.0,1.8943117430220333,1.4304223057953898e-15,1.894311743022032,step4/candidates/634d899549b0ce94eb0d36b6_p02.cif
634d899549b0ce94eb0d36b6_p03,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a0a0c-,6.0,rocksalt,rocksalt,I-4,native Glazer generator v1,172.04350774306172,5.626089629339293,1.9011922091683287,0.0048652242697699456,1.894311743022032,step4/candidates/634d899549b0ce94eb0d36b6_p03.cif
634d899549b0ce94eb0d36b6_p04,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a0a0c-,12.0,rocksalt,rocksalt,I-4,native Glazer generator v1,164.33982190699302,11.073418124154246,1.9213182850202422,0.019096508983333028,1.894311743022032,step4/candidates/634d899549b0ce94eb0d36b6_p04.cif
634d899549b0ce94eb0d36b6_p05,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a-a-a-,6.0,rocksalt,rocksalt,R3,native Glazer generator v1,163.2729276507452,0.036981231257649405,1.9146742024903347,0.0012391429107847481,1.91253333135049,step4/candidates/634d899549b0ce94eb0d36b6_p05.cif
634d899549b0ce94eb0d36b6_p06,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a-a-a-,12.0,rocksalt,rocksalt,R3,native Glazer generator v1,147.904586383159,0.2746014830978265,1.9711274616691459,0.009543681428932787,1.9547454301793024,step4/candidates/634d899549b0ce94eb0d36b6_p06.cif
634d899549b0ce94eb0d36b6_p07,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a-a-c+,6.0,rocksalt,rocksalt,Pc,native Glazer generator v1,163.24273266697273,0.02142787492288221,1.9147483754967378,0.0012369326177968467,1.91253333135049,step4/candidates/634d899549b0ce94eb0d36b6_p07.cif
634d899549b0ce94eb0d36b6_p08,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a-a-c+,12.0,rocksalt,rocksalt,Pc,native Glazer generator v1,147.68037821939575,0.15996160109567417,1.97223686824681,0.00948016811812477,1.9547454301793024,step4/candidates/634d899549b0ce94eb0d36b6_p08.cif
634d899549b0ce94eb0d36b6_p09,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,172.04350774306172,5.626089629339293,1.9011922091683282,0.004865224269769945,1.894311743022032,step4/candidates/634d899549b0ce94eb0d36b6_p09.cif
634d899549b0ce94eb0d36b6_p10,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a0a0c+,12.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,164.33982190699302,11.073418124154246,1.9213182850202422,0.019096508983333028,1.894311743022032,step4/candidates/634d899549b0ce94eb0d36b6_p10.cif
634d899549b0ce94eb0d36b6_p11,634d899549b0ce94eb0d36b6,NdZrCaSiO6,634d899549b0ce94eb0d36b3,blind_test,high_uncertainty,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,native Glazer generator v1,180.0,0.0,1.8943117430220333,1.4304223057953898e-15,1.894311743022032,step4/candidates/634d899549b0ce94eb0d36b6_p11.cif
