candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,dft_selection_role,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,structure_path,ensemble_mean,ensemble_std,parent_decomposition_energy_per_atom,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,prediction_seed_123,prediction_seed_2026,prediction_seed_3407,prediction_seed_42,prediction_seed_7777
634701f2660f1387211b4aba_p01,634701f2660f1387211b4aba,MgNbCu2O6,634701f1660f1387211b4ab7,development,near_stable_0.05_0.10,parent_reference,original,original,original,original,Pmn2_1,step4/candidates/634701f2660f1387211b4aba_p01.cif,0.0992128685116768,0.015312308445572853,0.087852,132.0398229411044,1.0122708424301101,1.9914742150876574,2.2899070387606756e-05,1.9914497340949735,0.10290664434432983,0.0886836051940918,0.0928233191370964,0.08731754124164581,0.12433323264122009
634701f2660f1387211b4aba_p04,634701f2660f1387211b4aba,MgNbCu2O6,634701f1660f1387211b4ab7,development,near_stable_0.05_0.10,gnn_lowest_energy,a0a0c-,12.0,rocksalt,rocksalt,I-42m,step4/candidates/634701f2660f1387211b4aba_p04.cif,0.142004331946373,0.019194604828953743,0.087852,164.33982190699302,11.073418124154243,1.8426146888884312,0.018314252372197963,1.8167144247989448,0.16371005773544312,0.14173361659049988,0.148263081908226,0.11112989485263824,0.14518500864505768
634701f2660f1387211b4aba_p02,634701f2660f1387211b4aba,MgNbCu2O6,634701f1660f1387211b4ab7,development,near_stable_0.05_0.10,gnn_highest_uncertainty,a0a0a0,0.0,rocksalt,rocksalt,Fm-3m,step4/candidates/634701f2660f1387211b4aba_p02.cif,0.43126870393753053,0.062078509479761124,0.087852,180.0,0.0,1.8167144247989448,3.8459253727671276e-16,1.8167144247989448,0.33576130867004395,0.44406625628471375,0.5086421370506287,0.42591699957847595,0.4419568181037903
634701f2660f1387211b4aba_p10,634701f2660f1387211b4aba,MgNbCu2O6,634701f1660f1387211b4ab7,development,near_stable_0.05_0.10,random_control,a0a0c+,12.0,rocksalt,rocksalt,P4_2/mnm,step4/candidates/634701f2660f1387211b4aba_p10.cif,0.1426434963941574,0.018094168975949287,0.087852,164.33982190699302,11.073418124154243,1.8426146888884312,0.018314252372197963,1.8167144247989448,0.1637452393770218,0.1417309045791626,0.14924532175064087,0.1140654981136322,0.1444305181503296
634702b1660f1387211b508d_p01,634702b1660f1387211b508d,NdZnEuSiO6,634702b1660f1387211b508b,development,unstable_negative_control_gt_0.20,parent_reference,original,original,original,original,Pc,step4/candidates/634702b1660f1387211b508d_p01.cif,0.29556519389152525,0.001665261690504849,0.321056,138.6546648336639,0.8505304163482281,2.0876107524764707,0.31578743163993783,1.7667361472444159,0.2942887842655182,0.2933838963508606,0.296073853969574,0.29681843519210815,0.29726099967956543
634702b1660f1387211b508d_p07,634702b1660f1387211b508d,NdZnEuSiO6,634702b1660f1387211b508b,development,unstable_negative_control_gt_0.20,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,Pc,step4/candidates/634702b1660f1387211b508d_p07.cif,0.25306546986103057,0.03043578565120697,0.321056,163.24273266697267,0.021427874922877184,1.975864923902571,0.0012764140729991814,1.9735791781150436,0.20956817269325256,0.27336442470550537,0.28389084339141846,0.2637777328491211,0.2347261756658554
634702b1660f1387211b508d_p03,634702b1660f1387211b508d,NdZnEuSiO6,634702b1660f1387211b508b,development,unstable_negative_control_gt_0.20,gnn_highest_uncertainty,a0a0c-,6.0,rocksalt,rocksalt,I-4,step4/candidates/634702b1660f1387211b508d_p03.cif,0.27771190702915194,0.05891606584191322,0.321056,172.04350774306172,5.626089629339297,1.9618760604604255,0.005020516588277089,1.954775977811165,0.21298342943191528,0.3179345726966858,0.325113445520401,0.31902652978897095,0.21350155770778656
634702b1660f1387211b508d_p09,634702b1660f1387211b508d,NdZnEuSiO6,634702b1660f1387211b508b,development,unstable_negative_control_gt_0.20,random_control,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,step4/candidates/634702b1660f1387211b508d_p09.cif,0.27777976393699644,0.0576653927564621,0.321056,172.04350774306172,5.626089629339297,1.9618760604604255,0.005020516588277089,1.954775977811165,0.21312350034713745,0.3176533579826355,0.32492610812187195,0.31688714027404785,0.21630871295928955
634704d5103349a28b1b6118_p01,634704d5103349a28b1b6118,Gd2FeMgO6,634704d5103349a28b1b6115,development,higher_energy_0.10_0.15,parent_reference,original,original,original,original,P2_1/c,step4/candidates/634704d5103349a28b1b6118_p01.cif,0.07979970127344131,0.04702582582831383,0.130977,147.22518482777767,0.3666642306467228,2.0128430799272787,0.08687202038861117,1.9248513541229568,0.030229151248931885,0.15374711155891418,0.06265269219875336,0.09350670874118805,0.0588628426194191
634704d5103349a28b1b6118_p07,634704d5103349a28b1b6118,Gd2FeMgO6,634704d5103349a28b1b6115,development,higher_energy_0.10_0.15,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,P2_1/c,step4/candidates/634704d5103349a28b1b6118_p07.cif,0.05032272487878799,0.026158321648836136,0.130977,163.24273266697267,0.021427874922905658,1.951464820811544,0.0012606515405550757,1.9492073018689693,0.06753797084093094,0.04230883717536926,0.061283014714717865,0.008202314376831055,0.07228148728609085
634704d5103349a28b1b6118_p03,634704d5103349a28b1b6118,Gd2FeMgO6,634704d5103349a28b1b6115,development,higher_energy_0.10_0.15,gnn_highest_uncertainty,a0a0c-,6.0,rocksalt,rocksalt,I4/m,step4/candidates/634704d5103349a28b1b6118_p03.cif,0.08436260223388672,0.06450387835502625,0.130977,172.04350774306172,5.626089629339283,1.9376487068858186,0.004958517855042682,1.9306363036859477,0.05208607017993927,0.18093588948249817,0.10052536427974701,0.006872117519378662,0.08139356970787048
634704d5103349a28b1b6118_p04,634704d5103349a28b1b6118,Gd2FeMgO6,634704d5103349a28b1b6115,development,higher_energy_0.10_0.15,random_control,a0a0c-,12.0,rocksalt,rocksalt,I4/m,step4/candidates/634704d5103349a28b1b6118_p04.cif,0.06891969293355941,0.032050784677267075,0.130977,164.33982190699302,11.073418124154236,1.9581607122796374,0.019462695964746927,1.9306363036859477,0.04209612309932709,0.11859820038080215,0.08108286559581757,0.04245305061340332,0.06036822497844696
